11042,Мемоари и обществено-политическа литература,"Как Великите сили да приели събитията в България на 10 ноември 1989 г.? Били ли са информирани и подготвени? Каква ролясаиграли?Имали ли са пръст в случилото се? Част от отговорите могат да бъдат намерени в поверителните доклади, които тогавашният американски посланик в България Сол Полански е пращал до Държавния департамент във Вашингтон от юни 1988 до юли 1990 г. Малка част от тях, в които се споменават събитията в България преди и след 10 ноември 1989 г., могат да бъдат намерени във виртуалната читалня на американския Държавен департамент.Авторката обаче успява да поиска и получи много повече документи от някоко американски институцаии, като използва Закона за свободата на информацията. Разсекретените дипломатически доклади допълват разговорите й с някогашните комунистически лидери Петър Младенов, Добри Джуров и Георги Атанасов, както и с последния съветски и първи руски посланик в България Виктор Шарапов. Така 30 години след събитията излиза още една част от истината, а картинатастава още по-пълна. "
11035,Мемоари и обществено-политическа литература,"Сашо Димитров учи мандолина при известния мандолинен педагог Асен Димитров–Маестрото. Участвал е като солист и концертмайстор в различни мандолинни състави повече от 50 години. Лауреат е на международни фестивали и конкурси в Испания, Холандия, Полша, Германия и Русия. Като професионален музикант повече от 40 години представя атракционен виртуозен номер в барове и вариететни програми в страната и чужбина. Правил е записи в БНР и БНТ с различни формации, включително със симфоничния оркестър с диригент Васил Стефанов. Участвал е в шоуто на Леа Иванова във Финландия. Занимавал се е с преподавателска дейност – мандолина. Към книгата има и диск!"
11033,Приказки,"Тази пълна колекция съдържа всички 23 приказки от Биатрикс Потър в един луксозен том с всичките им оригинални илюстрации. Перфектен подарък за запознаване на децата със света на Биатрикс Потър. Издание е класическо и от съществено значение за всяко дете. Открийте най-известния герой на Биатрикс – Зайчето Питър, и се запознайте с неговото семейство и приятели Зайчето Бенджамин, Госпожа Тиги-Мигъл, Джемайма Патравата Патица, Котенцето Том и др. Приказките са подредени в реда, в който са публикувани за първи път, а в края на книгата има четири допълнителни творби на прочутата детска писателка."
11032,Приказки,"Едно момиче, един вълк, една Червена шапчица Класическата приказка, поднесена от майстор разказвач и от фантастичен художник.  „Червената шапчица”, преразказана от Биатрикс Потър, е изпълнена с възхитителния мрак на оригиналната приказка, както и с характерните за Потър остроумие и цветисти изрази. Историята е блестящо оживена от един от най-добрите илюстратори в света – Хелън Оксенбъри. Като мечтател и човек, който търси нови пътища, Биатрикс Потър не се е поколебала да разкаже приказката по един по-зловещ начин, обрисувайки истинската същност на подлия и долен вълк и представяйки оригиналния мрачен и страховит край."
11030,Разкази,"„Бог има...! Трябва да има бог!” – сборникът с разкази, който съм написал, е вдъхновен от хората, посветили се на морето и душевно свързали живота си в сантиментално сърдечна връзка с него. Голяма част от героите са действително съществуващи хора от моя повече от четиридесетгодишен моряшки стаж – много от тях лично познавам или съм слушал разкази за историите, свързани с тях. Ако някой от читателите припознае в моите герои човек, когото лично познава, нека знае, че приликата с реално съществуващи хора и събития не е съвсем случайна.Надявам се, че с разказите в тази книга в тези меркантилни времена ще мога да събудя в паметта на читателите спомена за част от вдъхновението и романтиката на тази велика древна професия. Авторът"
11029,Енциклопедии,"Бестселър от 20 години!„Българска риболовна енциклопедия” – нова, допълнена и още по-добра! „Библията на въдичаря! Всичко, което трябва да знаете. Всичко, което искате да знаете. Всичко, което не сте знаели, че можете да знаете.”Тези думи написа редакторът на „Българска риболовна енциклопедия”, преди 2 десетилетия, точно на това място и тя започна своя път към читателите.20 години по-късно, Книгата на въдичарите в България, е доказан от времето бестселър!Често имитирана, но никога достигана! Тя претърпя няколко допълнени издания с нови тиражи. Именно с нея десетки хиляди българи се приобщиха към великата магия на риболова!В ръцете ви е специалната юбилейна „Българска риболовна енциклопедия”! Какво е новото – риболовът при съседите: Гърция, Северна Македония, Сърбия, Румъния и Турция. А и уникалният подробен раздел за рибите в Средиземно море, с монтажите, примамките, чалъмите и тайните при улова им!Сега книгата вече включва „житието и битието” на цели 140 вида риби!Приятно четене и „Наслука”!"
11026,Приказки,"Хелоуин е! Време е за лов на тикви! Гората обаче е мъничко тъмна, лекичко студена и много страшна..."
11024,Български романи,"Тодор Боянов Ковачев е роден в с. Студена, Пернишко. Завършва Техническия университет в София. Работил е като технолог и зам. главен механик в Металургичен комбинат „Ленин” (сега фирма „Стомана индъстри”), главен инженер и директор на завод „Благой Попов” – Перник, генерален директор на фирма „Камет”. Трети том на трилогията „Крепостта на ковачите” проследява съдбата на героите в битките през двайсети век. Привлечени от лозунга „Свобода, братство, равенство” младите хора започнаха да градят своето бъдеще. В кратки срокове изникнаха много заводи и предприятия. След кооперирането на земята и ликвидирането на скотовъдството селските труженици станаха наемни работници. Българският народ бе разделен на „заслужили активни другари” с много привилегии и останалите, които имаха само правото да работят. Съдбата на много млади хора бе прекършена. След 10 ноември 1989 г. новоизлюпените борци за демокрация се превърнаха в съвременни пирати. Всичко, градено през 45-те години социализъм, бе разграбено, продадено и опустошено, а спестяванията на българският народ бяха стопени. Не можаха само да затъмнят слънцето над Витоша. "
11023,Мемоари и обществено-политическа литература,"Проф. Йордан Начев е автор на шест книги и над сто публикации. В своята последна книга „Дълбоката държава” първоначално прави кратък преглед на различните недемократични модели на държавно управление. По задълбочено разглежда характеристиките и влиянието на корпоратокрацията и криптокрацията, който през последните десетилетия влияят съществено на политическото и икономическото развитие в съвременния неолиберален модел на държавно управление.Във втората част на текста авторът дава отгово на въпроса доколко „Дълбоката държава” може да се приеме като реалност в съвременната политическа действителност, каква е нейната същност, от кои източници тя черп сили и до каква степен действията й се разпростират не само в местен, но и в наднационален план.В последната част на книгата са посочени различни технологии на въздействие върху обществото и геополитически схеми, които „Дълбоката държава” прилага в държавното управление и в съвременната геополитика.Авторът проф. инж. Йордан Начев е бивш дългогодише ръководител на Центъра за разузнавателна подготовка н състава в Националната разузнавателна служба (сега Държавна агенция разузнаване). Има богат професионален и дипломатически опит. Той е доктор на икономическите наук и доктор по психология. Преподава в държавни и частни висши учебни заведения по редица дисциплини, имащи отношение към геополитиката, националната и международната сигурност."
11012,Поезия,"Николай Дойнов разглежда човека като божествена частица, като дар от висш разум, но всичко това, според поета, е немислимо без любовта. В любовта поетът вижда безсмъртието на човешкия род – като общност от мъдри и чувствителни създания, имащи, все пак, различни пространства помежду си, които поетът нарича „космоси”. Усетът за поетическия език, отличното владеене на класическия и белия стих, живописната образност и впечатляващите философски прозрения са само част от неговия поетичен свят.Николай Дойнов е един от най-ярките български поети, носител на най-високите държавни отличия за своята литературна и обществена дейност."
10998,Мемоари и обществено-политическа литература,"Уникално по рода си издание, което включва висококачествени снимки на почти всички картини на Цанко Лавренов. В него са поместени и текстове, посветени на художника, написани от най-добрите български изкуствоведи, както и спомени за него, споделени лично от внука му Лаврен Петров. Цанко Лавренов е сред имената в културната ни история, за които вече сякаш всичко е казано. Още приживе получил висока оценка като художник и авторитет в културния живот на България между 30-те и 70-те г. на ХХ век, днес той на мнозина ще се стори пределно познат. Поредната среща с него обаче ни изправя пред редица непоставени въпроси както към изследването на неговото творчество конкретно и анализирането му в по-широк от досега разглеждания контекст, така и към общи процеси в историята на българското изкуство, пряко участие в които има и Лавренов като художник, изкуствовед, общественик."
10997,Разкази,"Още помня въодушевлението си, когато разбрах, че Десислава Каменова подготвя първата си книга, и как се втурнах да я изчета. Изчистеният й стил – лек, елегантен, без излишни украшения – ме подвеждаше, че ще профуча през тези къси разкази на един дъх… Нищо подобно. Десислава обича да пише с кратки безподложни изречения. Обикновено разказва за героя си в минало несвършено време. Оказа се, че с този простичък инструмент ме направи свой съучастник. Изваденият от изречението герой се настани в съзнанието ми. Присъединих се към сканиращото йизследване на наглед тривиални и ежедневни постъпки и емоции. От тях обаче Десислава извлича изненадващи акценти – истински бисери или крайно неудобни препъникамъни."
10996,Мемоари и обществено-политическа литература,"Той посвети живота си на един безкраен шедьовър: изграждането на по-добро бъдеще.Инструментите на неговата професия включваха вяра, предпазливост, решителност и способността да учи – да се променя и израства. Но най-важният инструмент за него беше надеждата. Той използваше надеждата, за да посажда семена дълбоко в твърдата земя.Животът му бе непредвидим и изключителен, както и любимият му дом. Той вярваше, че постигането на мира и превръщането на Израел в едно по-добро място са част от пътя към създаване на един по-хармоничен, процъфтяващ и благороден свят, и едва ли има по-висока цел, която един човек би могъл да си постави.Той написа тази книга в последната година от живота си като дар за следващите поколения, за тези млади по възраст и млади в сърцата си. Искаше да предаде очуканата си и вярна кутия инструменти, така че ние всички да може да се поучим от неговото минало и да продължим да работим за изграждането на едно по-добро утре. Цвия, Йони и Хеми Видео за книгата може да видите !"
10993,Медицина,"С пълно основание може да се каже, че белтъците са най-важните от всички вещества, които влизат в състава на животните и растенията. В клетките белтъците се намират във вид на отделни молекули, обикновено с много висока молекулна маса (например от десет хиляди до няколко милиона), или влизат в състава на структури, които образуват клетката. В организма на човека се съдържат хиляди разнообразни белтъци, притежаващи различен строеж, вследствие на което те могат да изпълняват различни функции. В книгата ще намерите много полезна и ценна информация за белтъците, за техния химичен състав, тяхната биология, както и кои храни са богати на белтъци и за какво са полезни те."
10991,Разкази,"Започнах да мисля на глас:– Ти ми пееш... За добро трябва да е. Но аз избягах. Какво съм постигнал? Аз предадох, не простих, откраднах, бях немилостив... а ти ми пееш. Не заслужавам добро. Песни – още по-малко.Птицата беше черна, а дървото, на което беше кацнала, сякаш щеше да падне всеки момент. То не бе мъртво, беше умъртвено.– Още не ти е дошло времето. Затова ти пея.– Ти си камбана, така ли? Съобщаваш, че е време ли? Звън на съдбата?Птицата запя по-силно. Някой трябваше да й каже, че не пее добре. Крещеше и щракаше с клюна си, сякаш отваря и затваря врати, метални ръждясали порти.– Оглушаваш ме! Престани! Аз дойдох тук, за да...Птицата спря и попита:– За какво дойде? Върховете са за хора, които могат да летят.Възразих:– Никой човек не може да лети.– И никоя птица не може да говори. Нали?Разтърси тялото си, вирна клюн и полетя.И аз след нея."
10990,Приказки,"В третата книжка за Гошо – страхливото безстрашно вълче – и неговите верни горски приятели ще се изправят пред ново изпитание. По време на веселата игра в гората изведнъж започват да се случват странни и мистериозни неща – краката им се вкаменяват, топката им отлита и започва да кръжи около близкото дърво, а накрая пада и голям черен облак. Но какво означава всичко това, какво се случва, кой е виновен за цялата тази бъркотия? Това се питат и горските обитатели и обикновените читатели. За да разберете, прочетете, не се бавете!"
10989,Мемоари и обществено-политическа литература,"Днешното господство на неолиберализма в икономическата и социалната политика започва, когато противостоящият му предшественик, известен по-общо като кейнсианско управление на търсенето, навлиза в масивна криза по време на инфлацията от 70-те години. Това е криза и за социалдемокрацията. Ксенофобският популизъм в по-голямата част на Европа, САЩ, Русия и някои други страни, враждебен както към неолиберализма, така и към социалната демокрация, променя отношението помежду им. Особено важна променлива е балансът между електоралния (демократичен) компонент на политическата система и лобирането, ролята на големите пари, преговорната сила на глобалните корпорации. Това е арената, на която вероятно ще се изковават съюзите между неолиберали и социалдемократи. Тази книга специално е подготвена от Колин Крауч за издаване на български език и обединява части от две предишни негови работи – Странното неотмиране на неолиберализма и Да пригодим капитализма към обществото. Тук той включва и статистически данни и някои изследователски разработки за България."
10986,Истории,"„Общото ми впечатление от работата е отлично. Изворовият материал е старателно и пълно събран. Аналитичните части са изчерпателни. Всеки от анализираните необичайни признаци е разгледан самостоятелно и в комбинация с останалите необичайни и обичайни. В помощ на интерпретациите са привлечени много исторически и етнографски паралели, чието събиране, само по себе си представлява интерес. Впечатляващо е, че въпреки че е работено само с публикувани материали, анализирани от други колеги неведнъж, са изведени зависимости, незабелязани досега.” Доц. д-р Петя Георгиева, СУ „Св. Климент Охридски”  „Изследването дава висок принос в българската наука в няколко направления. Систематизацията и обобщението на резултатите за прилагането на необичайните погребални практики успява да създаде база данни, на основата на която се изследват разпространението, честотата и регионалните особености на явлението, търси се генезисът на установените необичайни действия в обреда като се предлага оригинална авторска интерпретация.” Доц. д-р Виктория Русева, ИЕМПАМ – БАН"
10984,Приказки,"В един снежен следобед Зайчето Питър тръгва да събере дръвца за майка си. Дори не подозира, че това ще е началото на едно вълнуващо приключение в дълбините на мразовитата гора."
10982,Мемоари и обществено-политическа литература,"Георги Парцалев е всенароден любимец.За 32 сезона в Сатиричния театър изиграва 40 роли. Но не получава театрална награда.Нито една!Актьорът се снима в над 17 игрални филма. И отново не получава награда в България.Нито една!„Заслужил артист” става, чак когато е на 44.За „народен артист” чака цели 14 години.През последните 7 години от живота му режисьорите го забравят.Защо към този изключителен самороден талант има по-особено отношение и той често е пренебрегван?Отговора на въпросите ще намерите в тази книга. Авторът Пенчо Ковачев е дългогодишен журналист, писател и сценарист.От години работи за в. „24 часа”. Работил е още във вестниците „Стандарт”, „Новинар”, „Кеш” и др. Бил е и директор на новините в БНТ."
10976,Български романи,"История за чудните приключения на група съвременни младежи, попаднали в миналото, в хайдушката дружина на Вълчан войвода, заедно с когото след редица премеждия се пренасят обратно в нашето време, за да продължат и тук своята битка за справедливост. История за първата любов, за възмъжаването, за доблестта да останеш верен на една благородна кауза въпреки всичко и всички… Книгата може да бъде интересна както за тийнейджъри, така и за техните родители.  Озовал се на върха, Дамян отначало се бои да се изправи, струва му се, че стълбът се клати, че само едно неловко движение ще го запрати долу. Хвърля поглед наоколо. Тук и там се виждат заети в тренировки мъже, никой не се спотайва, никой не охка и не се оплаква от разцепена вежда или навехнат крак, всеки е дошъл тук, в стана на хайдутите, с болка, много по-голяма от някоя синина или рана. Дамян тръсва глава, въздъхва и прави рязко движение нагоре. Никога не е бил слабак, никога не е бягал от предизвикателствата. Изправен в цял ръст, той вижда пред себе си вече една друга картина – очите на Савина, пълни с ужас, разпиляната й златиста коса, крехката й фигура, попаднала в лапите на онези... онези мръсни, потни чудовища, които и в страшен сън не бяха му се присънвали..."
